beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,rmse
15,0.1,2,1,0.2857142857142857,1,1,7.8295495034732205,0.0630226730229635,0.47007596449553496,0.22561899702288296,9.162538211486542
20,0.1,2,1,0.2857142857142857,1,1,7.942972211039212,0.06423597381294799,0.47327311611669515,0.22251571870564768,9.163967151639325
5,0.057,2.5,1,0.2857142857142857,1,1,4.095977262652544,2.3490700222283944e-05,2.9998992585355087,6.648500722268837,20.146094618311466
10,0.057,2.5,1,0.2857142857142857,1,1,7.86758817924992,0.06344593613973709,0.47066478308555065,0.2246663110939945,9.162726298427529
15,0.057,2.5,1,0.2857142857142857,1,1,4.080549311208017,3.3893026274434135e-8,2.9999998797078335,6.999999647717461,20.169917508732585
20,0.057,2.5,1,0.2857142857142857,1,1,4.080565374019334,6.574019795202446e-8,2.9999997342216074,6.999999554896085,20.169918035189777
5,0.025,2.5,1,0.2857142857142857,1,1,7.821978624857893,0.06293985553498171,0.46998557634506727,0.225791729899456,9.162602521514378
10,0.025,2.5,1,0.2857142857142857,1,1,4.080810267689017,1.3803905618559043e-7,2.999998055772217,6.999998554079227,20.169919849019163
15,0.025,2.5,1,0.2857142857142857,1,1,7.832026360800848,0.06305259273369063,0.4700840972963819,0.22560206082472561,9.162533217221087
20,0.025,2.5,1,0.2857142857142857,1,1,7.8599399728996815,0.06336201587110213,0.4704562923291404,0.22493503488972483,9.162701025830863
5,0.1,2.5,1,0.2857142857142857,1,1,7.831565184820118,0.06304949629727824,0.4700116734777776,0.22542798734493946,9.162545910227465
10,0.1,2.5,1,0.2857142857142857,1,1,7.830229795664181,0.06303269762122554,0.4701286678498252,0.22561508010643727,9.162537292118994
15,0.1,2.5,1,0.2857142857142857,1,1,4.09733441588386,6.389059128808494e-6,2.9999887549667714,6.636985197102219,20.14579654933165
20,0.1,2.5,1,0.2857142857142857,1,1,3.988355380436963,0.004099844895676108,0.4397789701605177,0.4712061501948104,12.254150224894811
