beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,nlogll
10,0.057,0.7,0.6,0.2857142857142857,0,0,5.90185287014772,0.036305173270486345,0.9708520031362441,0.50253346656513,112.49315306982571
15,0.057,0.7,0.6,0.2857142857142857,0,0,5.5005029145685915,0.028877654649130884,0.915982311176603,0.5167686952417961,112.445123164242
20,0.057,0.7,0.6,0.2857142857142857,0,0,5.459833474473376,0.02799749281867301,0.9115319962003772,0.5174882930081091,112.44255174073535
5,0.025,0.7,0.6,0.2857142857142857,0,0,5.103672277170779,0.020273735075931307,0.8643772874688739,0.5299635824244132,112.42485598466244
10,0.025,0.7,0.6,0.2857142857142857,0,0,6.054611470332776,0.03927135592323323,0.9921961007207132,0.49984447304539914,112.51790304359005
15,0.025,0.7,0.6,0.2857142857142857,0,0,4.773480719620337,0.012347243460099893,0.8272101862060011,0.5401075933483532,112.41769118702796
20,0.025,0.7,0.6,0.2857142857142857,0,0,6.10234273752513,0.04004983515019682,1,0.4982047415063317,112.52768847928786
5,0.1,0.7,0.6,0.2857142857142857,0,0,5.0991189278754,0.020144634560327807,0.8644813215971456,0.5297182127585265,112.42474591647365
10,0.1,0.7,0.6,0.2857142857142857,0,0,5.974063900017887,0.037680174874639136,0.9813118815102975,0.5010082661735983,112.50480325749685
15,0.1,0.7,0.6,0.2857142857142857,0,0,6.071741058177979,0.03948250293343682,0.9951488443586911,0.4988426295669949,112.52157625770063
20,0.1,0.7,0.6,0.2857142857142857,0,0,5.879283784326656,0.036044148702829085,0.9679435483014299,0.5041257502255566,112.48969147650438
5,0.057,0.9,0.6,0.2857142857142857,0,0,5.170826517957946,0.02178753942301104,0.8722699228487072,0.5276828003842648,112.42682856224884
10,0.057,0.9,0.6,0.2857142857142857,0,0,6.101541323506721,0.039958611275202144,0.9999990574082791,0.49834740481590883,112.52770939913675
15,0.057,0.9,0.6,0.2857142857142857,0,0,6.102835381584802,0.039937990739778405,1,0.4981177356735317,112.52767881437988
20,0.057,0.9,0.6,0.2857142857142857,0,0,6.101485627631664,0.040023713024964776,1,0.4983969464111738,112.52765263425673
5,0.025,0.9,0.6,0.2857142857142857,0,0,5.070559768220701,0.019502528689901225,0.8608228233958581,0.5308900002868948,112.4239904534427
10,0.025,0.9,0.6,0.2857142857142857,0,0,5.302621595148053,0.02480675858603394,0.8912658692412527,0.5235012044623166,112.43263412028134
15,0.025,0.9,0.6,0.2857142857142857,0,0,6.097661102783414,0.03989356273567274,0.9992437038312515,0.4984103259198333,112.52672380425004
20,0.025,0.9,0.6,0.2857142857142857,0,0,5.552046030878317,0.029891972620262545,0.9225200989505271,0.5148214337248607,112.44937753612993
5,0.1,0.9,0.6,0.2857142857142857,0,0,5.059433950690109,0.019236228714141497,0.8600284765448942,0.5309536739600949,112.42373605811412
10,0.1,0.9,0.6,0.2857142857142857,0,0,5.841847358261438,0.03530287570730111,0.9626294612396746,0.5049540431547304,112.4841185141604
15,0.1,0.9,0.6,0.2857142857142857,0,0,6.100575425408687,0.03999574047717417,1,0.49819752250881744,112.5276651944797
20,0.1,0.9,0.6,0.2857142857142857,0,0,19.00971492846853,0.13524257195953746,0.9653744067210193,0.4622327699761142,114.99591780446127
5,0.057,0.3,0.8,0.2857142857142857,0,0,5.130300347698308,0.020909814195461535,0.8683632252465363,0.5288850344894687,112.4255748074367
10,0.057,0.3,0.8,0.2857142857142857,0,0,6.09717813353754,0.03990948891474656,0.9986465334312601,0.49835717841770233,112.52594421442967
15,0.057,0.3,0.8,0.2857142857142857,0,0,15.188294458575538,0.10919873777007721,0.2082792471252043,0.4198782016474262,117.24319904947215
20,0.057,0.3,0.8,0.2857142857142857,0,0,20.247856720498042,0.13214198601619814,0.18983608030814317,0.41283376097814617,117.69923050823257
5,0.025,0.3,0.8,0.2857142857142857,0,0,4.6538078715224,0.009349877132077907,0.8113559661045792,0.5444701595909529,112.4140669997581
10,0.025,0.3,0.8,0.2857142857142857,0,0,6.105533191739685,0.04004904933599873,1,0.49824035397793204,112.52770939798478
15,0.025,0.3,0.8,0.2857142857142857,0,0,15.113901806473407,0.11698340369525287,0.3930849490629419,0.44829372919530264,118.1649912938425
20,0.025,0.3,0.8,0.2857142857142857,0,0,20.312418178661755,0.13241013504814106,0.1896461676070721,0.4128977731087431,117.70239686794457
5,0.1,0.3,0.8,0.2857142857142857,0,0,4.29787736583297,0,0.7651663444783217,0.556597383229448,112.38970139386899
