beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
20,0.025,2,1,0.3,0.4,0.2857142857142857,20.186054462874807,0.14026639674328767,2.9743264113402983,0.8363575983304715,1,0.2851618378847203,110.93431956313987
5,0.1,2,1,0.3,0.4,0.2857142857142857,3.475988638675701,0,0.5623852106640495,0.29405395035409443,0.9999921297610671,0.7300275804402765,106.9839489236421
10,0.1,2,1,0.3,0.4,0.2857142857142857,11.285052241357283,0.09956548156548586,0.5618999601719583,0.15584409399014687,0.9753259689431196,0.7785215562131507,107.60942312284334
15,0.1,2,1,0.3,0.4,0.2857142857142857,3.807619808049007,0.007936914940881256,0.5712892548276179,0.2763105906723898,0.9981978190305938,0.7335935089053156,106.98477906456306
20,0.1,2,1,0.3,0.4,0.2857142857142857,20.418497751476703,0.14825431751943735,0.5134072733254051,0.12327354634529489,0.9810897135953152,0.841508564064811,108.36620517792582
5,0.057,2.5,1,0.3,0.4,0.2857142857142857,3.478437851463346,0,0.5615640868604581,0.29353838476505534,0.9978625423819515,0.7300641913452388,106.98517483013876
10,0.057,2.5,1,0.3,0.4,0.2857142857142857,8.693403031476773,0.07785118482884953,0.5765071384624209,0.17845233063429727,0.9999508168494564,0.7619013557321005,107.43624396988312
15,0.057,2.5,1,0.3,0.4,0.2857142857142857,10.88761419383433,0.09642677788677545,0.5570980509349226,0.15944095710247636,0.9923481621282142,0.7826574969988191,107.6382398643596
20,0.057,2.5,1,0.3,0.4,0.2857142857142857,10.453345753935839,0.08885488718536516,0.4528141518512222,0.09126019490925433,0.7245064192824995,0.8911176766592839,106.88144484146936
5,0.025,2.5,1,0.3,0.4,0.2857142857142857,4.001848237600243,0.012113348708429594,0.5703313199896518,0.2666215075098333,0.9961768493725616,0.7337208752139361,106.99048061130611
10,0.025,2.5,1,0.3,0.4,0.2857142857142857,9.479410470297205,0.08496206853100627,0.5710802987023211,0.1716859119312791,0.9999679475612422,0.7674227585966278,107.52076880956272
